Step,AgentID,State,Health,Row,Col,Age,Risk,Strategy,FamilyID,EscapeStep,CellsTraversed,HazardCellsCrossed,StepsInSmoke,StepsInFire,CommsReceived,RescueCompleted,ExitChosen_r,ExitChosen_c
6,14,evacuating,100,11,11,53,0.7890792838094645,safest_exit,,-1,3,0,0,0,3,False,14,18
6,11,evacuating,100,12,6,47,0.24679042862978662,safest_exit,,-1,3,0,0,0,4,False,14,1
6,22,evacuating,100,13,14,42,0.14690831997774315,safest_exit,,-1,3,0,0,0,7,False,14,18
6,23,evacuating,96,6,1,42,0.10172430268114115,safest_exit,1.0,-1,3,2,4,0,3,False,14,1
6,19,evacuating,100,13,1,44,0.28910359243339956,least_crowded_exit,,-1,3,0,0,0,3,False,14,1
6,3,evacuating,100,3,11,73,0.42888182083979043,nearest_exit,,-1,2,0,0,0,3,False,1,18
6,25,rescuing,100,8,11,36,0.7281034854352972,safest_exit,3.0,-1,5,0,0,0,4,False,14,1
6,20,evacuating,100,8,2,31,0.4885129003605748,least_crowded_exit,,-1,4,0,0,0,2,False,14,1
6,8,evacuating,100,9,18,33,0.7893380290822328,nearest_exit,,-1,4,0,0,0,5,False,14,18
6,10,evacuating,100,1,8,45,0.45889083826650556,nearest_exit,2.0,-1,3,0,0,0,3,False,1,18
6,0,escaped,100,1,18,30,0.7459975982133148,least_crowded_exit,5.0,3,2,0,0,0,3,False,1,18
6,13,evacuating,100,1,16,69,0.1603079106994315,least_crowded_exit,,-1,2,0,0,0,5,False,1,18
6,15,rescuing,100,2,15,59,0.1783269825612803,safest_exit,4.0,-1,5,0,0,0,6,False,14,18
7,26,rescuing,100,1,7,79,0.43840598879213033,nearest_exit,3.0,-1,3,0,0,0,3,False,1,18
7,21,evacuating,100,6,14,75,0.7917203152241724,least_crowded_exit,3.0,-1,2,0,0,0,7,False,1,18
7,27,rescuing,100,6,15,68,0.6844042539323728,least_crowded_exit,2.0,-1,4,0,0,0,8,False,14,1
7,4,escaped,100,14,1,61,0.6832606795678805,nearest_exit,,4,2,0,0,0,3,False,14,1
7,9,aware,100,3,9,52,0.25327205771332323,least_crowded_exit,0.0,-1,1,0,0,0,5,True,14,1
7,5,evacuating,100,8,10,59,0.6227643906126332,least_crowded_exit,5.0,-1,4,0,0,0,7,True,14,1
7,12,escaped,100,14,18,77,0.29984515830568037,nearest_exit,,5,2,0,0,0,6,False,14,18
7,2,dead,0,5,2,45,0.44484094592510204,safest_exit,,-1,0,0,0,2,1,False,1,18
7,22,evacuating,100,13,15,42,0.14690831997774315,safest_exit,,-1,4,0,0,0,9,False,14,18
7,11,evacuating,100,12,5,47,0.24679042862978662,safest_exit,,-1,4,0,0,0,6,False,14,1
7,10,evacuating,100,2,8,45,0.45889083826650556,nearest_exit,2.0,-1,4,0,0,0,4,False,1,18
7,23,evacuating,94,7,1,42,0.10172430268114115,safest_exit,1.0,-1,4,2,5,0,5,False,14,1
7,29,evacuating,98,10,1,30,0.4893371293234636,nearest_exit,,-1,5,1,2,0,4,False,14,1
7,28,evacuating,100,4,15,63,0.5446146587244945,nearest_exit,,-1,3,0,0,0,8,False,1,18
7,3,evacuating,100,3,11,73,0.42888182083979043,nearest_exit,,-1,2,0,0,0,4,False,1,18
7,20,evacuating,100,8,1,31,0.4885129003605748,least_crowded_exit,,-1,5,0,0,0,3,False,14,1
7,15,rescuing,100,1,15,59,0.1783269825612803,safest_exit,4.0,-1,6,0,0,0,7,False,14,18
7,16,evacuating,100,1,10,71,0.8994259747301813,nearest_exit,4.0,-1,3,0,0,0,5,False,1,18
7,18,rescuing,100,8,3,72,0.8410935864065021,least_crowded_exit,1.0,-1,6,0,0,0,7,False,14,1
7,14,evacuating,100,12,11,53,0.7890792838094645,safest_exit,,-1,4,0,0,0,4,False,14,18
7,8,evacuating,100,10,18,33,0.7893380290822328,nearest_exit,,-1,5,0,0,0,7,False,14,18
7,17,rescuing,100,2,9,23,0.11180628519652043,least_crowded_exit,2.0,-1,3,0,0,0,3,False,14,1
7,7,evacuating,100,14,15,69,0.6825708707529461,safest_exit,,-1,3,0,0,0,7,False,14,18
7,24,evacuating,100,12,15,68,0.31216244653772157,nearest_exit,5.0,-1,2,0,0,0,8,True,14,18
7,19,escaped,100,14,1,44,0.28910359243339956,least_crowded_exit,,6,4,0,0,0,6,False,14,1
7,0,escaped,100,1,18,30,0.7459975982133148,least_crowded_exit,5.0,3,2,0,0,0,3,False,1,18
7,6,escaped,100,1,18,43,0.17873429692156712,safest_exit,0.0,5,3,0,0,0,6,False,1,18
7,1,rescuing,100,2,10,60,0.1754606371935058,safest_exit,1.0,-1,3,0,0,0,5,False,1,18
7,13,evacuating,100,1,17,69,0.1603079106994315,least_crowded_exit,,-1,3,0,0,0,6,False,1,18
7,25,rescuing,100,7,11,36,0.7281034854352972,safest_exit,3.0,-1,6,0,0,0,5,False,14,1
8,1,rescuing,100,2,10,60,0.1754606371935058,safest_exit,1.0,-1,3,0,0,0,5,False,1,18
